,ProjectNumber,AgencyName,RecipientName,USD_Disbursement,USD_Commitment,LongDescription,ProjectTitle,ExpectedStartDate,CompletionDate,Aid_t,PurposeCode
13,01BE17005B,Federal Ministry of Education and Research,Serbia,0.319454,0.0,"The cooperative project NEMID stands for a demand-driven development and piloting implementation of a dual vocational school in Serbia. It consists of 3 sub-projects - 1. Set-up and operation of the vocational school, 2. Development and transfer of vocational educative contents, 3. Scientific accompaniment, Sub-project - Demand analysis and development of curricula - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-07-31,D02,11330.0
14,01BE17005C,Federal Ministry of Education and Research,Serbia,0.44859,0.0,"Cooperative project for demand-driven development and piloting implementation of a dual vocational school in Serbia. It consists of 3 sub-projects - 1. Set-up and operation of the vocational school, 2. Development and transfer of vocational educative contents, 3. Scientific support and transfer of innovative methods - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-12-31,D02,11330.0
15,01BE17006A,Federal Ministry of Education and Research,Brazil,0.31738299999999997,0.0,"Welding Technology in Brazil - Development of an independent institute for qualifications in the field of welding technologies in Sao Paulo, Brazil - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-07-01,2021-12-31,D02,32110.0
16,01BE17006B,Federal Ministry of Education and Research,Brazil,0.345851,0.0,"Welding Technology in Brazil - Development of an independent institute for qualifications in the field of welding technologies in Sao Paulo, Brazil - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-07-01,2021-06-30,D02,32110.0
17,01BE17006C,Federal Ministry of Education and Research,Brazil,0.141151,0.0,"Welding Technology in Brasilia  Development of an independent institute for qualifications in the field of welding technologies in Sao Paulo, Brazil (BRA-WELD), Subproject - Scientific monitoring - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-07-01,2021-06-30,D02,32110.0
18,01BE17007A,Federal Ministry of Education and Research,China (People's Republic of),0.279026,0.318989,Building the Competence Center Port Economy for education and training in the People's Republic of China as well as international product and concept marketing of the initial vocational training in Port Operations and Transport. - Capacity building in the field of education and research / knowledge transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-09-01,2021-08-31,D02,21081.0
19,01BE17007B,Federal Ministry of Education and Research,China (People's Republic of),0.679816,0.0,"transPORT - Conception, implementation and evaluation of an initial vocational training in Port operations and transport in China as well as scientific support and advice of transPORT - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-09-01,2021-08-31,D02,21081.0
20,01BE17007C,Federal Ministry of Education and Research,China (People's Republic of),0.19213,0.0,Action-oriented teaching concept as well as elaboration of examination standards and a certification system for vocational training as a Specialist for Port Operation and Transport in the Peoples Republic of China. - Capacity building in the field of education and research / knowledge transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-09-01,2021-08-31,D02,21081.0
21,01BE17008A,Federal Ministry of Education and Research,China (People's Republic of),1.066232,0.0,"Joint research project Context-sensitive Learning Services in the Work Process of the Smart Industrial Production  Systematic Engineering and Piloting in China (KoLeArn), Sub-Project - Engineering and Evaluation of Context-sensitive Learning Service systems - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-10-01,2021-06-30,D02,32110.0
22,01BE17008B,Federal Ministry of Education and Research,China (People's Republic of),0.058522000000000005,0.067942,"Joint research project Context-sensitive Learning Services in the Work Process of the Smart Industrial Production  Systematic Engineering and Piloting in China (KoLeArn), Sub-project - Implementation of KoLeArn Learning and Qualification system - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-10-01,2021-06-30,D02,32110.0
23,01BE17008C,Federal Ministry of Education and Research,China (People's Republic of),0.27611600000000003,0.0,"Joint research project Context-sensitive Learning Services in the Work Process of the Smart Industrial Production  Systematic Engineering and Piloting in China (KoLeArn), Sub-Project - Qualification Concept - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-10-01,2021-06-30,D02,32110.0
24,01BE17008D,Federal Ministry of Education and Research,China (People's Republic of),0.270698,0.0,"Joint research project Context-sensitive Learning Services in the Work Process of the Smart Industrial Production  Systematic Engineering and Piloting in China (KoLeArn), Sub-project - Requirements Analysis and Piloting - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-10-01,2021-06-30,D02,32110.0
25,01BE17009A,Federal Ministry of Education and Research,Iran,0.30942000000000003,0.0,"Co-operation Cold-air technology in Iran, Project - Refrigeration Air conditioning Technology in Iran, Subprojects - project coordination, network management, intercultural project management and public relation - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-12-31,D02,32110.0
26,01BE17009B,Federal Ministry of Education and Research,Iran,0.266332,0.0,"Project - Refrigeration Airconditioning Technology in Iran, Part-Program - Development & Organisation from education programs in the field of refrigeration and air conditioning in Iran - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-12-31,D02,32110.0
27,01BE17009C,Federal Ministry of Education and Research,Iran,0.130122,0.0,"Air Conditioning and Refrigeration systems (ACR Technology) in Iran, Subproject - Scientific monitoring - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-12-31,D02,32110.0
28,01BE17010A,Federal Ministry of Education and Research,Tunisia,0.131297,0.0,"Collaborative Project - Implementation of a technical private vocational training center in Tunisia (OpporTUNIty), Subproject - Concept, Implementation and Operation of a private Tunisian Vocational Training Center with close collaboration to companies according to the German role model - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-07-01,2019-11-30,D02,11330.0
29,01BE17010B,Federal Ministry of Education and Research,Tunisia,0.100769,0.0,"Collaborative Project - Implementation of a technical private vocational training center in Tunisia (OpporTUNIty), Subproject - Accompanying Research - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-07-01,2019-11-30,D02,11330.0
30,01BE17010C,Federal Ministry of Education and Research,Tunisia,0.053537,0.0,"Collaborative Project - Implementation of a technical private vocational training center in Tunisia (OpporTUNIty), Subproject - Conception, implementation and operation of a private Tunisian Vocational training center with company co-operation according to German model - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-07-01,2019-11-30,D02,11330.0
31,01BE17011A,Federal Ministry of Education and Research,Iran,0.34281700000000004,0.0,"IRI - Innovation in Vocational Education and Training in Iran - Demand-oriented VET Courses, Sub-project - Tools of Innovation Management (Line c) - Research funding in the developing country / knowledge transfer / advanced training in the developing country / capacity building in education and research",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-09-01,2020-12-31,D02,11330.0
32,01BE17011B,Federal Ministry of Education and Research,Iran,0.163018,0.0,"IRI - Innovation in Vocational Education and Training in Iran - Demand-oriented VET Courses, Sub-project - Evaluation and Further Training of Iranian Teaching Staff (Line c) - Research funding in the developing country / knowledge transfer / advanced training in the developing country / capacity building in education and research",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-09-01,2020-12-31,D02,11330.0
33,01BE17012A,Federal Ministry of Education and Research,Mexico,0.7963100000000001,0.0,"Joint project - Exporting blended vocational education and training for industrial process design and optimisation into the Mexican automotive sector (E-Mas), Subproject - Exporting a further education course on the topic of workplace learning for the Industrie 4.0 and developing a tool for designing vocational education and training services for export purposes - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-12-15,D02,21081.0
34,01BE17012B,Federal Ministry of Education and Research,Mexico,0.488592,0.0,"Joint project - Exporting blended vocational education and training for industrial process design and optimisation into the Mexican automotive sector (E-Mas), Subproject - Developing and testing a blended learning concept for teaching the MTM-Practitioner in Mexico - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-12-15,D02,21081.0
35,01BE17012C,Federal Ministry of Education and Research,Mexico,0.21349200000000002,0.0,"Joint project - Exporting blended vocational education and training for industrial process design and optimisation into the Mexican automotive sector (E-Mas), Subproject - Developing competencies for lean management 4.0 in the Mexican automotive sector - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-07-31,D02,21081.0
36,01BE17012D,Federal Ministry of Education and Research,Mexico,0.177915,0.0,"Joint project - Exporting blended vocational education and training for industrial process design and optimisation into the Mexican automotive sector (E-Mas), Subproject - Developing a certificate course in the field of industrial tool-and-die making for the Mexican automotive sector - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-08-01,2020-12-15,D02,21081.0
37,01BE17013A,Federal Ministry of Education and Research,"Caribbean & Central America, regional",0.193224,0.0,WB-IBB-SO - Scientific monitoring of the BMBF funding scheme for the internationalisation of VET (exploratory stage 01.09.2017-30.04.2018) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-09-01,2018-04-30,D02,11330.0
38,01BE17013B,Federal Ministry of Education and Research,"Caribbean & Central America, regional",0.166282,0.0,WB-IBB-SO - Scientific monitoring of the BMBF funding scheme for the internationalisation of VET (exploratory stage 01.09.2017-30.04.2018) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2017-09-01,2018-04-30,D02,11330.0
39,01BE17014A,Federal Ministry of Education and Research,South Africa,0.405223,0.46459,"TRAINME - Modular initial and continuing training for South African vocational school teachers in mechanical and electrical engineering, Subproject - Trade-specific practical and technical skills (Line b) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-01-01,2021-09-30,D02,32110.0
40,01BE17014B,Federal Ministry of Education and Research,South Africa,0.428804,0.442005,"TRAINME - Modular training and further education of South African TVET-lecturers in mechanical and electrical engineering, Subproject - Teaching pedagogical content and vocational pedagogical contents (line b) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-01-01,2021-09-30,D02,32110.0
41,01BE17016A,Federal Ministry of Education and Research,Philippines,0.375212,0.385379,"WPI - Innovation in Water Management in Residential Areas in the Philippines, sub-project - Innovation Management (line c) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-11-01,2021-10-31,D02,14081.0
42,01BE17016B,Federal Ministry of Education and Research,Philippines,0.110792,0.120779,"WPI - Innovation in Water Management in Residential Areas in the Philippines, sub-project - Water Further Education (line c) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2018-11-01,2021-10-31,D02,14081.0
43,01BE17019A,Federal Ministry of Education and Research,Nigeria,0.323556,0.700091,"QUATIA - Qualification 'train-the-trainer' in the field of alternative energies - a training to become solar technician with the focus on entrepreneurship, Sub-project - Development of demand-oriented structures through a model implementation of initial and continuing training services in Nigeria (line c) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-04-01,2022-03-31,D02,11330.0
44,01BE17019B,Federal Ministry of Education and Research,Nigeria,0.085622,0.158365,"QUATIA - Qualification 'train-the-trainer' in the field of alternative energies - a training to become solar technician with the focus on entrepreneurship, Sub-project - Supporting research, educational demand analysis and evaluation (line c) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-04-01,2021-05-31,D02,11330.0
45,01BE17023A,Federal Ministry of Education and Research,China (People's Republic of),0.34270500000000004,0.654433,"INWICA - Joint project - Development and implementation of an innovative advanced training concept for becoming a specialist in industry 4.0 and a master craftsman in production in China, Sub-project - Support in developing a demand-driven learning system by using modern technology (line c) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-10-15,2022-10-14,D02,11330.0
46,01BE17023B,Federal Ministry of Education and Research,China (People's Republic of),0.285795,0.53329,"INWICA - Joint project - Development and implementation of an innovative advanced training concept for becoming a specialist in industry 4.0 and a master craftsman in production in China, Sub-project - Implementation of the pilot phase of advanced training concept (line c) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-10-15,2022-10-14,D02,11330.0
47,01BE17023C,Federal Ministry of Education and Research,China (People's Republic of),0.053895,0.096658,"INWICA - Joint project - Development and implementation of an innovative advanced training concept for becoming a specialist in industry 4.0 and a master craftsman in production in China, Sub-project - Integration of collaborative live e-learning into educational services (line c) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-10-15,2022-10-14,D02,11330.0
48,01BE17023D,Federal Ministry of Education and Research,China (People's Republic of),0.044605000000000006,0.083539,"INWICA - Joint project - Development and implementation of an innovative advanced training concept for becoming a specialist in industry 4.0 and a master craftsman in production in China, Sub-project - Development and testing of a blended-learning curricula (line c) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-10-15,2022-10-14,D02,11330.0
49,01BE17029AL,Federal Ministry of Education and Research,"America, regional",0.000329,0.009427,"Joint project: Y-MAS - Internationalization of Blended-Learning Continuing Education in Industrial Process Design and Optimization for the Production Sector in Spanish Speaking Latin America, Subproject: Development of a continuing education offer for maintenance and interlogistics as well as a reference model for the conceptualization of continuing education in international networks (line c) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2023-03-31,D02,11330.0
50,01BE17029AN,Federal Ministry of Education and Research,"America, regional",0.017646,0.505424,"Joint project: Y-MAS - Internationalization of Blended-Learning Continuing Education in Industrial Process Design and Optimization for the Production Sector in Spanish Speaking Latin America, Subproject: Development of a continuing education offer for maintenance and interlogistics as well as a reference model for the conceptualization of continuing education in international networks (line c) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2023-03-31,D02,11330.0
51,01BE17029BL,Federal Ministry of Education and Research,"America, regional",0.000355,0.004517,"Joint project: Y-MAS - Internationalization of Blended-Learning Continuing Education in Industrial Process Design and Optimization for the Production Sector in Spanish Speaking Latin America, Subproject: Development of a continuing education offer for maintenance and interlogistics as well as a reference model for the conceptualization of continuing education in international networks (line c) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2023-03-31,D02,11330.0
52,01BE17029BN,Federal Ministry of Education and Research,"America, regional",0.019039,0.242168,"Joint project: Y-MAS - Internationalization of Blended-Learning Continuing Education in Industrial Process Design and Optimization for the Production Sector in Spanish Speaking Latin America, Subproject: Development of a continuing education offer for maintenance and interlogistics as well as a reference model for the conceptualization of continuing education in international networks (line c) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2023-03-31,D02,11330.0
53,01BE17030A,Federal Ministry of Education and Research,India,0.288904,0.783091,SINADE - Strengthening industry-based models of dual vocational education and training in industrial clusters in northern India (line b) - Capacity building in the field of education and research / knowledge transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-08-01,2022-07-31,D02,11330.0
54,01BE19001A,Federal Ministry of Education and Research,Thailand,0.216676,0.216676,SCHOOLPLATE - Electroplating training and qualification measures in Thailand (exploratory phase) - Capacity building in the field of education and research / knowledge transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2020-01-01,2020-12-31,D02,11330.0
55,01BE21001A,Federal Ministry of Education and Research,Colombia,0.069182,0.260577,"RECO - Joint project: Evaluation of the initial and continuing training demand in the renewable energies sector in Columbia, Subproject: project management and control (line a) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2022-06-30,D02,11330.0
56,01BE21001B,Federal Ministry of Education and Research,Colombia,0.0817,0.128677,"RECO - Joint project: Evaluation of the initial and continuing training demand in the renewable energies sector in Columbia, Subproject: Analysis of the renewable energies sector and its labour demand (line a) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2022-06-30,D02,11330.0
57,01BE21002A,Federal Ministry of Education and Research,South Africa,0.041629,0.744549,"TRAINME2 - Joint project: Advanced modular training and further education of South African TVET-lecturers in mechanical and electrical engineering, subproject: Practical and artisanal contents (Line b) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2024-09-30,D02,11130.0
58,01BE21002B,Federal Ministry of Education and Research,South Africa,0.024895,0.653577,"TRAINME2 - Joint project: Advanced modular training and further education of South African TVET-lecturers in mechanical and electrical engineering, subproject: Professionally oriented competences in the context of current challenges of digitization in vocational education (Line b) - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2021-10-01,2024-09-30,D02,11130.0
59,01BEX01B15,Federal Ministry of Education and Research,Viet Nam,0.216545,0.112722,"Collaborative project - FiVe - Establishment of a business-related technical school in S.R. Vietnam- Sub-project - Development of the business models, business plans and marketing strategies as well as optimization of service processes and transfer of project results - Knowledge Transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2015-01-01,2019-10-31,D02,11330.0
60,01BEX01C15,Federal Ministry of Education and Research,Viet Nam,0.169902,0.067944,Collaborative project - FiVe - Establishment of a business-related technical school in S.R. Vietnam- Sub-project - Train the Trainer - Knowledge Transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2015-01-01,2019-10-31,D02,11330.0
61,01BEX03C13,Federal Ministry of Education and Research,India,0.000474,0.000474,"Collaborative project - Exporting vocational training in urban water management to India (BIBS), Sub-project - Service engineering for vocational training exports to India in the field of urban water management (SEBIBS) - Knowledge Transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2013-06-01,2017-05-31,D02,14081.0
62,01BEX12A15,Federal Ministry of Education and Research,"Developing countries, unspecified",1.706501,1.082025,Contributions of the German Chambers of Commerce Abroad to implement system elements of dual VET in selected partner countries in line with the German model - Vocational training and qualification measures for skilled professionals from the developing country / knowledge transfer / education export,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2015-10-01,2019-05-31,D02,11330.0
63,01BF18001B,Federal Ministry of Education and Research,China (People's Republic of),0.22581,0.298017,"CodeVET - Competence development in vocational education and training (VET). A comparative analysis of intended and implemented curricula in the field of business administration, Sub-project - China (focus a) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-04-01,2022-10-31,D02,11330.0
64,01BF18002A,Federal Ministry of Education and Research,Mexico,0.377261,0.510893,DualReg - Locally rooted - worldwide linked up - Mexico - Success conditions for transfer of vocational education and dual practices (focus b) - Capacity building in the field of education and research / knowledge transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-06-01,2022-10-31,D02,11330.0
65,01BF18003A,Federal Ministry of Education and Research,China (People's Republic of),0.148525,0.324939,"efach - Factors for a successful cooperation in vocational training with the People's Republic of China - a comparison of governmental, civil and private sector concepts (focus B) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-04-01,2021-08-31,D02,11330.0
66,01BF18004A,Federal Ministry of Education and Research,Mexico,0.47566600000000003,0.612711,KuPraMex - Cultural practice of non-academic labour in Mexico (focus b) - Capacity building in the field of education and research / knowledge transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-06-01,2022-09-30,D02,11330.0
67,01BF18005A,Federal Ministry of Education and Research,Peru,0.18177100000000002,0.224452,PeruDual - In-company training quality and role of trainers in dual vocational education and training (VET) in Peru (focus b) - Capacity building in the field of education and research / knowledge transfer,Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-06-01,2022-03-31,D02,11330.0
68,01BF18006A,Federal Ministry of Education and Research,South Africa,0.11490900000000001,0.199452,"Collaborative project - Building Capacities for vocational education and training (VET) in South Africa, Sub-project - project management, frame work and dissemination (focus b) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-04-01,2022-12-31,D02,11130.0
69,01BF18006B,Federal Ministry of Education and Research,South Africa,0.243153,0.272603,"Collaborative project - Building Capacities for vocational education and training (VET) in South Africa, Sub-project - Improving the quality of VET by the extensions of Vocational- and Subject Didactics (focus b) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-04-01,2022-12-31,D02,11130.0
70,01BF18006C,Federal Ministry of Education and Research,South Africa,0.122228,0.18201,"Collaborative project - Building Capacities for vocational education and training (VET) in South Africa, Sub-project - Qualitative and Quantitative Analysis, Networking (focus b) - Capacity building in the field of education and research / knowledge transfer",Exchanges with Other Countries in the Field of Vocational Education and Training and Scholarships,2019-04-01,2022-12-31,D02,11130.0
